,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,QUANTITY,UNIT
0,.1~1,1,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F01,48000,ST
1,.1~2,2,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F03,48000,ST
2,.1~3,3,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F13,64000,ST
3,.1~4,4,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F14,64000,ST
4,.1~5,5,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F16,64000,ST
5,.1~6,6,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F01,0,ST
6,.1~7,7,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F02,64000,ST
7,.1~8,8,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F03,0,ST
8,.1~9,9,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F04,64000,ST
9,.1~10,10,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F06,64000,ST
10,.1~11,11,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F11,64000,ST
11,.1~12,12,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F12,64000,ST
12,.1~13,13,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F13,0,ST
13,.1~14,14,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F14,0,ST
14,.1~15,15,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F16,0,ST
15,.1~16,16,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F01,48000,ST
16,.1~17,17,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F02,0,ST
17,.1~18,18,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F03,48000,ST
18,.1~19,19,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F04,0,ST
19,.1~20,20,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F06,0,ST
20,.1~21,21,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F11,0,ST
21,.1~22,22,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F12,0,ST
22,.1~23,23,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F13,64000,ST
23,.1~24,24,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F14,64000,ST
24,.1~25,25,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F16,64000,ST
25,.1~26,26,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F01,0,ST
26,.1~27,27,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F02,64000,ST
27,.1~28,28,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F03,0,ST
28,.1~29,29,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F04,100000,ST
29,.1~30,30,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F06,100000,ST
30,.1~31,31,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F11,80000,ST
31,.1~32,32,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F12,100000,ST
32,.1~33,33,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F13,0,ST
33,.1~34,34,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F14,0,ST
34,.1~35,35,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F16,0,ST
