,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PRODUCTION_ORDER,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,BEGIN_ROUND,BEGIN_STEP,END_ROUND,END_STEP,TARGET_QUANTITY,CONFIRMED_QUANTITY,UNIT,SETUP_TIME
0,.1~1,1,C2,01,03,01/03,2024-01-03T00:00:00,1,3,1000620,CC-F01,500g Nut Muesli,01,03,01,04,48000,48000,ST,0
1,.1~2,2,C2,01,03,01/03,2024-01-03T00:00:00,1,3,1000621,CC-F03,500g Strawberry Muesli,01,05,01,06,48000,48000,ST,4
2,.1~3,3,C2,01,03,01/03,2024-01-03T00:00:00,1,3,1000624,CC-F14,1kg Raisin Muesli,01,07,01,08,48000,48000,ST,4
3,.1~4,4,C2,01,03,01/03,2024-01-03T00:00:00,1,3,1000625,CC-F14,1kg Raisin Muesli,01,08,01,09,16000,16000,ST,0
4,.1~5,5,C2,01,03,01/03,2024-01-03T00:00:00,1,3,1000623,CC-F13,1kg Strawberry Muesli,01,09,01,10,16000,16000,ST,4
5,.1~6,6,C2,01,03,01/03,2024-01-03T00:00:00,1,3,1000622,CC-F13,1kg Strawberry Muesli,01,10,01,12,48000,48000,ST,0
6,.1~7,7,C2,01,03,01/03,2024-01-03T00:00:00,1,3,1000626,CC-F16,1kg Mixed Fruit Muesli,01,12,01,14,48000,48000,ST,4
7,.1~8,8,C2,01,03,01/03,2024-01-03T00:00:00,1,3,1000627,CC-F16,1kg Mixed Fruit Muesli,01,14,01,14,16000,16000,ST,0
8,.1~9,9,C2,01,11,01/11,2024-01-11T00:00:00,3,11,1000642,CC-F02,500g Blueberry Muesli,01,14,01,17,64000,64000,ST,4
9,.1~10,10,C2,01,11,01/11,2024-01-11T00:00:00,3,11,1000643,CC-F04,500g Raisin Muesli,01,17,01,20,64000,64000,ST,4
10,.1~11,11,C2,01,11,01/11,2024-01-11T00:00:00,3,11,1000645,CC-F11,1kg Nut Muesli,01,20,02,02,64000,64000,ST,4
11,.1~12,12,C2,01,11,01/11,2024-01-11T00:00:00,3,11,1000646,CC-F12,1kg Blueberry Muesli,02,02,02,05,64000,64000,ST,4
12,.1~13,13,C2,01,11,01/11,2024-01-11T00:00:00,3,11,1000644,CC-F06,500g Mixed Fruit Muesli,02,05,02,07,64000,64000,ST,4
13,.1~14,14,C2,02,04,02/04,2024-01-24T00:00:00,5,24,1000655,CC-F01,500g Nut Muesli,02,08,02,09,48000,48000,ST,4
14,.1~15,15,C2,02,04,02/04,2024-01-24T00:00:00,5,24,1000656,CC-F03,500g Strawberry Muesli,02,10,02,11,48000,48000,ST,4
15,.1~16,16,C2,02,04,02/04,2024-01-24T00:00:00,5,24,1000659,CC-F16,1kg Mixed Fruit Muesli,02,12,02,14,64000,64000,ST,4
16,.1~17,17,C2,02,04,02/04,2024-01-24T00:00:00,5,24,1000658,CC-F14,1kg Raisin Muesli,02,14,02,17,64000,64000,ST,4
17,.1~18,18,C2,02,04,02/04,2024-01-24T00:00:00,5,24,1000657,CC-F13,1kg Strawberry Muesli,02,17,02,19,64000,64000,ST,4
18,.1~19,19,C2,02,13,02/13,2024-02-02T00:00:00,7,33,1000667,CC-F11,1kg Nut Muesli,02,19,03,02,64000,64000,ST,4
19,.1~20,20,C2,02,13,02/13,2024-02-02T00:00:00,7,33,1000668,CC-F11,1kg Nut Muesli,03,02,03,03,16000,16000,ST,0
20,.1~21,21,C2,02,13,02/13,2024-02-02T00:00:00,7,33,1000669,CC-F12,1kg Blueberry Muesli,03,03,03,05,64000,64000,ST,4
21,.1~22,22,C2,02,13,02/13,2024-02-02T00:00:00,7,33,1000670,CC-F12,1kg Blueberry Muesli,03,05,03,06,26000,26000,ST,0
22,.1~23,23,C2,02,13,02/13,2024-02-02T00:00:00,7,33,1000671,CC-F02,500g Blueberry Muesli,03,06,03,09,64000,64000,ST,4
23,.1~24,24,C2,02,13,02/13,2024-02-02T00:00:00,7,33,1000672,CC-F04,500g Raisin Muesli,03,09,03,11,64000,64000,ST,4
24,.1~25,25,C2,02,13,02/13,2024-02-02T00:00:00,7,33,1000673,CC-F04,500g Raisin Muesli,03,11,03,12,16000,16000,ST,0
25,.1~26,26,C2,02,13,02/13,2024-02-02T00:00:00,7,33,1000674,CC-F06,500g Mixed Fruit Muesli,03,12,03,14,53000,53000,ST,4
26,.1~27,27,C2,03,17,03/17,2024-02-26T00:00:00,12,57,1000695,CC-F16,1kg Mixed Fruit Muesli,03,17,03,19,64000,64000,ST,4
